Start date;Start time;Line;MO No.;Item;Designation;Pal;Type;Hours;Fct qty (Cas);Qty made (Cas);Fct qty [Kg];;Qty made [Kg];;Left (Cas)
08/10/2026;00:01;LMH-P12;29903;280375;6x8x110 GUTZY ORG ARSPBLBBET;656;GUTZY;17.22;2451;;12941.280;Kg;;Kg;2451
08/11/2026;08:58;LMH-P12;29905;280612;9X4X100 SLY STBLEM GGS;718;SlymeZ;11.98;2500;;9000.000;Kg;;Kg;2500
08/11/2026;20:56;LMH-P12;29906;280611;9X4X100 SLY BLURSB GGS;718;SlymeZ;26.62;5556;;20001.600;Kg;;Kg;5556
08/12/2026;23:32;LMH-P12;29907;280614;6X10X100 SLY STBLEM GGS;719;SlymeZ;26.61;3333;;19998.000;Kg;;Kg;3333
08/14/2026;11:00;LMH-P12;29962;CIP;CIP;;;6.00;1042;;4501.440;Kg;;Kg;1042
08/02/2026;00:11;LMH-P14;29798;280572;6X10X90 ACIN GGS;707;GGS;77.02;10700;10607;57780.000;Kg;57277.800;Kg;93
08/05/2026;04:36;LMH-P14;29797;120448;6X12X90 ACIN GGS;635;GGS;41.59;4815;4814;31201.200;Kg;31194.720;Kg;1
08/07/2026;00:04;LMH-P14;29799;280107;6X12X90 ORG APL GGS;635;GGS;23.33;2701;;17502.480;Kg;;Kg;2701
08/07/2026;01:00;LMH-P14;29856;CIP;CIP;;;6.00;1042;;4501.440;Kg;;Kg;1042
08/08/2026;00:00;LMH-P14;29800;280090;12X4X90 ABLB GGS CAN;616;GGS;12.00;2083;;8998.560;Kg;;Kg;2083
08/08/2026;11:00;LMH-P14;29801;280601;6X4X90 FV APERCAR GGS;658;GGS;13.20;4583;;9899.280;Kg;;Kg;4583
08/10/2026;00:01;LMH-P14;29909;280602;6X4X90 FV ABERCAR GGS;658;GGS;12.00;4167;;9000.720;Kg;;Kg;4167
08/10/2026;12:00;LMH-P14;29910;280345;6X4X90 APL APL GGS;658;GGS;24.81;8615;;18608.400;Kg;;Kg;8615
08/11/2026;12:48;LMH-P14;29911;280347;6X4X90 APL STB GGS;658;GGS;26.55;9222;;19919.520;Kg;;Kg;9222
08/11/2026;21:00;LMH-P14;29963;CIP;CIP;;;6.00;1042;;4501.440;Kg;;Kg;1042
08/12/2026;15:21;LMH-P14;29912;120532;12X4X90 ASTB GGS CAN;616;GGS;13.33;2315;;10000.800;Kg;;Kg;2315
08/13/2026;04:40;LMH-P14;29913;120436;6X12X90 APL GGS;635;GGS;47.73;5525;;35802.000;Kg;;Kg;5525
08/02/2026;00:01;LMH-P15;29840;TRIALS;TRIALS;;;2.00;348;;1503.360;Kg;;Kg;348
08/02/2026;00:37;LMH-P15;29802;280689;1X18X100 SLY VP BRSB-STLEM SAM;717;SlymeZ;137.34;57341;45355;103213.800;Kg;81639.000;Kg;11986
08/06/2026;04:56;LMH-P15;29897;280610;1X36X120 ACTCHU ACIN FS;715;ACTCHU;43.65;7593;1440;32801.760;Kg;6220.800;Kg;6153
08/08/2026;13:00;LMH-P15;29858;CIP;CIP;;;6.00;1042;;4501.440;Kg;;Kg;1042
08/09/2026;00:01;LMH-P15;29955;TRIALS;TRIALS;;;2.00;347;;1499.040;Kg;;Kg;347
08/10/2026;00:01;LMH-P15;29915;280605;9X4X120 ACTCHU ACIN GGS;721;ACTCHU;33.13;5764;;24900.480;Kg;;Kg;5764
08/11/2026;09:09;LMH-P15;29916;280607;6X10X120 ACTCHU ACIN GGS;720;ACTCHU;26.62;2778;;20001.600;Kg;;Kg;2778
08/11/2026;23:00;LMH-P15;29964;CIP;CIP;;;6.00;1042;;4501.440;Kg;;Kg;1042
08/02/2026;00:07;LMH-P16;29803;570560;1X48X90 APL FS CAN;722;GGS;40.05;6954;6774;30041.280;Kg;29263.680;Kg;180
08/03/2026;13:52;LMH-P16;29804;280213;1X28X90 ORG APL GGS;618;GGS;12.00;3571;3735;8998.920;Kg;9412.200;Kg;-164
08/04/2026;03:29;LMH-P16;29805;280563;1X24X90 WMT FV PEC-BER-STB-PER;613;WALMART;24.26;8426;8892;18200.160;Kg;19206.720;Kg;-466
08/05/2026;06:49;LMH-P16;29807;280264;6X12X90 WALMRT F&V PEC-BER-STB;635;WALMART;71.98;8333;2034;53997.840;Kg;13180.320;Kg;6299
08/06/2026;17:51;LMH-P16;29806;280425;6X12X90 ORG FV ABERCAR-APECSWP;635;GGS;36.00;4167;1080;27002.160;Kg;6998.400;Kg;3087
08/10/2026;00:01;LMH-P16;29918;280264;6X12X90 WALMRT F&V PEC-BER-STB;635;WALMART;46.65;5401;;34998.480;Kg;;Kg;5401
08/11/2026;22:40;LMH-P16;29919;120463;1X48X90 APL GGS FS;722;GGS;39.99;6944;;29998.080;Kg;;Kg;6944
08/12/2026;10:00;LMH-P16;29965;CIP;CIP;;;6.00;1042;;4501.440;Kg;;Kg;1042
08/13/2026;14:39;LMH-P16;29920;280563;1X24X90 WMT FV PEC-BER-STB-PER;613;WALMART;23.99;8333;;17999.280;Kg;;Kg;8333
08/14/2026;07:00;LMH-P16;29921;280564;1X24X90 WALMART VP APL-CIN-STB;613;WALMART;30.26;10509;;22699.440;Kg;;Kg;10509
08/15/2026;00:01;LMH-P16;29922;280592;1X24X90 VP APL-CIN GGS;613;GGS;19.67;6833;;14759.280;Kg;;Kg;6833
08/02/2026;00:11;LMH-P17;29893;570261;1X28X90 ORG VP AP-ST-CI-BA CAN;618;GGS;26.51;15786;15788;39780.720;Kg;39785.760;Kg;-2
08/02/2026;23:34;LMH-P17;29808;280480;1X28X90 ORG VP APL-CIN-PEC-STB;618;GGS;129.44;77063;56826;194198.760;Kg;143201.520;Kg;20237
08/10/2026;00:01;LMH-P17;29956;280324;1X32X90 VP APL-CIN-STB-GM5 GGS;705;GGS;46.66;24306;;70001.280;Kg;;Kg;24306
08/10/2026;21:00;LMH-P17;29966;CIP;CIP;;;8.00;2778;;12000.960;Kg;;Kg;2778
08/11/2026;22:40;LMH-P17;29923;280480;1X28X90 ORG VP APL-CIN-PEC-STB;618;GGS;86.65;51587;;129999.240;Kg;;Kg;51587
08/02/2026;00:01;LMH-P18;29841;TRIALS;TRIALS;;;6.00;2084;;9002.880;Kg;;Kg;2084
08/02/2026;07:03;LMH-P18;29809;280686;1X24X90 MEMBERS MARK ORG APL;655;MMBRMRK;120.44;83654;70181;180692.640;Kg;151590.960;Kg;13473
08/03/2026;20:00;LMH-P18;29810;570261;1X28X90 ORG VP AP-ST-CI-BA CAN;618;GGS;73.85;43968;;110799.360;Kg;;Kg;43968
08/06/2026;21:51;LMH-P18;29811;280344;2X20X90 FV VP BER-PEC-PER DINO;640;GGS;19.99;8333;;29998.800;Kg;;Kg;8333
08/07/2026;11:00;LMH-P18;29862;CIP;CIP;;;8.00;2778;;12000.960;Kg;;Kg;2778
08/10/2026;00:01;LMH-P18;29924;280421;2X20X90 VP APL-STB-BAN-PEC CAN;640;GGS;46.32;19306;;69501.600;Kg;;Kg;19306
08/11/2026;22:19;LMH-P18;29928;280451;2X20X90 PINPAS-STB-PER-MAN CAN;640;GGS;37.66;15695;;56502.000;Kg;;Kg;15695
08/12/2026;03:00;LMH-P18;29967;CIP;CIP;;;8.00;2778;;12000.960;Kg;;Kg;2778
08/13/2026;11:00;LMH-P18;29929;280451;2X20X90 PINPAS-STB-PER-MAN CAN;640;GGS;37.66;15694;;56498.400;Kg;;Kg;15694
