line_id,sku,line_name,capable,rate_kgph
10,280123,P19,0,1454.0
11,280123,P20,0,1475.0
12,280123,P21,0,1432.0
13,280123,P22,0,1356.0
0,280129,P09,0,716.0
1,280129,P10,0,635.0
2,280129,P11,1,770.0
3,280129,P12,0,608.0
4,280129,P13,0,748.0
5,280129,P14,0,689.0
6,280129,P15,0,630.0
7,280129,P16,0,800.0
8,280129,P17,0,1454.0
9,280129,P18,0,1486.0
10,280129,P19,0,1454.0
11,280129,P20,0,1475.0
12,280129,P21,0,1432.0
13,280129,P22,0,1356.0
0,280130,P09,0,716.0
1,280130,P10,0,635.0
2,280130,P11,1,770.0
3,280130,P12,0,608.0
4,280130,P13,0,748.0
5,280130,P14,0,689.0
6,280130,P15,0,630.0
7,280130,P16,0,800.0
8,280130,P17,0,1454.0
9,280130,P18,0,1486.0
10,280130,P19,0,1454.0
11,280130,P20,0,1475.0
12,280130,P21,0,1432.0
13,280130,P22,0,1356.0
0,280134,P09,1,716.0
1,280134,P10,1,635.0
2,280134,P11,1,770.0
3,280134,P12,1,608.0
4,280134,P13,1,748.0
5,280134,P14,1,689.0
6,280134,P15,1,630.0
7,280134,P16,1,800.0
8,280134,P17,0,1454.0
9,280134,P18,0,1486.0
10,280134,P19,0,1454.0
11,280134,P20,0,1475.0
12,280134,P21,0,1432.0
13,280134,P22,0,1356.0
0,280135,P09,1,716.0
1,280135,P10,1,635.0
2,280135,P11,1,770.0
3,280135,P12,0,608.0
4,280135,P13,1,748.0
5,280135,P14,0,689.0
6,280135,P15,1,630.0
7,280135,P16,1,800.0
8,280135,P17,0,1454.0
9,280135,P18,0,1486.0
10,280135,P19,0,1454.0
11,280135,P20,0,1475.0
12,280135,P21,0,1432.0
13,280135,P22,0,1356.0
0,280164,P09,1,716.0
1,280164,P10,0,635.0
2,280164,P11,0,770.0
3,280164,P12,1,608.0
4,280164,P13,0,748.0
5,280164,P14,1,689.0
6,280164,P15,0,630.0
7,280164,P16,0,800.0
8,280164,P17,0,1454.0
9,280164,P18,0,1486.0
10,280164,P19,0,1454.0
11,280164,P20,0,1475.0
12,280164,P21,0,1432.0
13,280164,P22,0,1356.0
0,280167,P09,0,716.0
1,280167,P10,0,635.0
2,280167,P11,0,770.0
3,280167,P12,0,608.0
4,280167,P13,0,748.0
5,280167,P14,1,689.0
6,280167,P15,0,630.0
7,280167,P16,0,800.0
8,280167,P17,0,1454.0
9,280167,P18,0,1486.0
10,280167,P19,0,1454.0
11,280167,P20,0,1475.0
12,280167,P21,0,1432.0
13,280167,P22,0,1356.0
0,280169,P09,1,716.0
1,280169,P10,0,635.0
2,280169,P11,1,770.0
3,280169,P12,0,608.0
4,280169,P13,1,748.0
5,280169,P14,0,689.0
6,280169,P15,1,630.0
7,280169,P16,1,800.0
8,280169,P17,1,1454.0
9,280169,P18,0,1486.0
10,280169,P19,0,1454.0
11,280169,P20,1,1475.0
12,280169,P21,0,1432.0
