Year Start,Month Start,Day Start,Machine,Product,Tons,gen_idtypemaille,Year End,Month End,Day End,Hours
2027,9,6,P02,280571,24.193,4,2027,9,13,32.465
2027,11,1,P02,280571,18.307,4,2027,11,8,24.566
2027,9,27,P02,280573,9.03,4,2027,10,4,12.118
2026,8,31,P02,280573,32.558,4,2026,9,7,42.52
2026,10,26,P02,280573,21.086,4,2026,11,2,27.192
2026,11,2,P02,280573,20.804,4,2026,11,9,27.4
2027,6,21,P02,280573,12.22,4,2027,6,28,16.398
2027,6,28,P02,280573,12.42,4,2027,7,5,16.667
2027,7,12,P02,280573,27.18,4,2027,7,19,36.473
2026,9,28,P02,280580,23.918,4,2026,10,5,30.844
2026,10,5,P02,280580,18,4,2026,10,12,23.213
2026,10,12,P02,280580,18,4,2026,10,19,23.213
2026,10,26,P02,280580,28.766,4,2026,11,2,37.096
2027,1,11,P02,280580,29.752,4,2027,1,18,39.925
2027,2,8,P02,280580,30.52,4,2027,2,15,40.955
2027,2,22,P02,280580,18,4,2027,3,1,24.155
2027,3,22,P02,280580,18,4,2027,3,29,24.155
2027,4,26,P02,280580,18,4,2027,5,3,24.155
2027,6,7,P02,280580,18,4,2027,6,14,24.155
2027,8,30,P02,280580,25.858,4,2027,9,6,34.699
2027,10,11,P02,280580,4.07,4,2027,10,18,5.462
2027,11,29,P02,280580,5.531,4,2027,12,6,7.422
2027,12,6,P02,280580,4.124,4,2027,12,13,5.534
2027,12,20,P02,280580,7.015,4,2027,12,27,9.414
2028,1,17,P02,280580,6.34,4,2028,1,24,8.508
2028,1,24,P02,280580,6.274,4,2028,1,31,8.419
2026,9,14,P02,280641,18,4,2026,9,21,23.507
2026,9,21,P02,280641,18,4,2026,9,28,23.507
2026,10,12,P02,280641,18,4,2026,10,19,23.213
2026,10,26,P02,280641,18,4,2026,11,2,23.213
2026,11,2,P02,280641,18,4,2026,11,9,23.708
2027,2,1,P02,280641,18,4,2027,2,8,24.155
2027,2,22,P02,280641,20,4,2027,3,1,26.838
2027,3,1,P02,280641,18,4,2027,3,8,24.155
2027,3,8,P02,280641,18,4,2027,3,15,24.155
2027,4,5,P02,280641,18,4,2027,4,12,24.155
2027,4,26,P02,280641,20,4,2027,5,3,26.838
2027,7,26,P02,280641,18,4,2027,8,2,24.155
2027,8,9,P02,280641,18,4,2027,8,16,24.155
2027,9,6,P02,280641,18,4,2027,9,13,24.155
2027,9,13,P02,280641,18,4,2027,9,20,24.155
2027,9,20,P02,280641,0.956,4,2027,9,27,1.283
2027,9,27,P02,280641,6.59,4,2027,10,4,8.843
2027,10,4,P02,280641,6.59,4,2027,10,11,8.843
2027,10,18,P02,280641,6.84,4,2027,10,25,9.179
2027,11,1,P02,280641,4.98,4,2027,11,8,6.683
2027,11,8,P02,280641,9.86,4,2027,11,15,13.231
2027,11,15,P02,280641,15.544,4,2027,11,22,20.859
2027,11,29,P02,280641,4.62,4,2027,12,6,6.2
2027,12,13,P02,280641,4.62,4,2027,12,20,6.2
2027,12,20,P02,280641,2.31,4,2027,12,27,3.1
2028,1,3,P02,280641,2.31,4,2028,1,10,3.1
2028,1,17,P02,280641,2.03,4,2028,1,24,2.724
2028,1,24,P02,280641,0.993,4,2028,1,31,1.333
2026,8,17,P02,Capacity T,29.617,4,2026,8,24,39.12
2026,8,3,P03,120436,115.001,4,2026,8,10,154.099
2026,8,10,P03,120436,11,4,2026,8,17,14.74
2026,10,26,P03,120436,63.087,4,2026,11,2,82.505
2026,11,23,P03,120436,17.214,4,2026,11,30,23
2027,3,1,P03,120436,9.742,4,2027,3,8,13.072
2027,5,3,P03,120436,20.667,4,2027,5,10,27.733
2027,6,7,P03,120436,9,4,2027,6,14,12.077
2027,11,1,P03,120436,17.208,4,2027,11,8,23.092
2026,8,31,P03,120464,72,4,2026,9,7,95.238
2026,9,14,P03,120464,21.092,4,2026,9,21,27.9
2026,9,21,P03,120464,29.448,4,2026,9,28,38.952
2026,10,5,P03,120464,44.834,4,2026,10,12,58.634
2026,10,12,P03,120464,60.06,4,2026,10,19,78.547
2026,11,16,P03,120464,59.183,4,2026,11,23,79.075
2026,11,30,P03,120464,21.808,4,2026,12,7,29.782
2027,1,4,P03,120464,64.526,4,2027,1,11,86.588
2027,1,11,P03,120464,29.576,4,2027,1,18,39.688
2027,1,18,P03,120464,46.061,4,2027,1,25,61.811
2027,1,25,P03,120464,44.904,4,2027,2,1,60.258
2027,2,8,P03,120464,41.45,4,2027,2,15,55.622
2027,2,22,P03,120464,22.525,4,2027,3,1,30.227
2027,3,8,P03,120464,26.251,4,2027,3,15,35.227
2027,3,15,P03,120464,78.089,4,2027,3,22,104.79
2027,4,12,P03,120464,25.254,4,2027,4,19,33.888
2027,4,26,P03,120464,88.372,4,2027,5,3,118.588
2027,5,10,P03,120464,80.371,4,2027,5,17,107.852
2027,5,17,P03,120464,46.289,4,2027,5,24,62.116
2027,5,31,P03,120464,99.742,4,2027,6,7,133.845
2027,6,7,P03,120464,18,4,2027,6,14,24.155
2027,7,12,P03,120464,92.682,4,2027,7,19,124.372
2027,7,19,P03,120464,40.425,4,2027,7,26,54.247
2027,7,26,P03,120464,62.874,4,2027,8,2,84.372
2027,8,16,P03,120464,41.697,4,2027,8,23,55.955
2027,8,23,P03,120464,54.268,4,2027,8,30,72.823
2027,9,13,P03,120464,40.066,4,2027,9,20,53.765
2027,11,1,P03,120464,19.552,4,2027,11,8,26.237
2028,1,3,P03,120464,22.162,4,2028,1,10,29.74
2028,1,17,P03,120464,9.324,4,2028,1,24,12.513
2026,8,17,P03,241287,28,4,2026,8,24,37.52
2026,8,24,P03,241287,68.372,4,2026,8,31,91.617
2026,9,14,P03,241287,20.09,4,2026,9,21,26.574
2026,9,28,P03,241287,26.202,4,2026,10,5,34.267
2026,11,2,P03,241287,18,4,2026,11,9,24.05
2026,12,7,P03,241287,56.954,4,2026,12,14,77.78
2027,1,11,P03,241287,47.497,4,2027,1,18,63.738
2027,2,1,P03,241287,24.328,4,2027,2,8,32.646
2027,3,15,P03,241287,39.652,4,2027,3,22,53.21
2027,3,22,P03,241287,53.413,4,2027,3,29,71.677
2027,8,9,P03,241287,35.283,4,2027,8,16,47.347
2027,8,23,P03,241287,45.474,4,2027,8,30,61.023
2027,9,27,P03,241287,23.926,4,2027,10,4,32.107
2027,10,11,P03,241287,67.373,4,2027,10,18,90.41
2027,11,1,P03,241287,13.286,4,2027,11,8,17.829
2027,12,20,P03,241287,3.281,4,2027,12,27,4.402
2027,12,27,P03,241287,28.662,4,2028,1,3,38.462
2026,8,24,P03,241288,23.761,4,2026,8,31,31.839
2026,9,28,P03,241288,18,4,2026,10,5,23.54
2026,10,5,P03,241288,28.019,4,2026,10,12,36.644
2026,10,19,P03,241288,18.679,4,2026,10,26,24.428
2026,11,16,P03,241288,21.514,4,2026,11,23,28.745
2026,11,30,P03,241288,23.196,4,2026,12,7,31.678
2026,12,14,P03,241288,18,4,2026,12,21,24.582
2027,1,4,P03,241288,22.12,4,2027,1,11,29.683
2027,3,22,P03,241288,30.949,4,2027,3,29,41.531
2027,8,9,P03,241288,18,4,2027,8,16,24.155
2027,8,30,P03,241288,27.645,4,2027,9,6,37.098
2027,9,20,P03,241288,7.858,4,2027,9,27,10.545
2027,11,1,P03,241288,4.186,4,2027,11,8,5.617
2027,11,29,P03,241288,38.826,4,2027,12,6,52.101
2027,12,27,P03,241288,10.144,4,2028,1,3,13.612
2028,1,10,P03,241288,10.302,4,2028,1,17,13.824
2026,8,24,P03,280045,25.779,4,2026,8,31,34.543
2026,10,19,P03,280045,18,4,2026,10,26,23.54
2026,10,26,P03,280045,32.08,4,2026,11,2,41.954
2026,11,30,P03,280045,18,4,2026,12,7,24.582
2027,1,18,P03,280045,18.99,4,2027,1,25,25.483
2027,2,8,P03,280045,18,4,2027,2,15,24.155
2027,3,1,P03,280045,18,4,2027,3,8,24.155
2027,4,5,P03,280045,19.435,4,2027,4,12,26.08
2027,4,12,P03,280045,18,4,2027,4,19,24.155
2027,4,19,P03,280045,18,4,2027,4,26,24.155
2027,5,31,P03,280045,18,4,2027,6,7,24.155
2027,6,7,P03,280045,27.01,4,2027,6,14,36.245
2027,6,21,P03,280045,19.84,4,2027,6,28,26.624
2027,7,5,P03,280045,19.87,4,2027,7,12,26.664
2027,7,12,P03,280045,19.84,4,2027,7,19,26.624
2027,8,2,P03,280045,18,4,2027,8,9,24.155
2027,8,23,P03,280045,18,4,2027,8,30,24.155
2027,9,6,P03,280045,19.14,4,2027,9,13,25.684
2027,9,13,P03,280045,18.665,4,2027,9,20,25.047
2027,9,27,P03,280045,18,4,2027,10,4,24.155
2027,10,25,P03,280045,18.455,4,2027,11,1,24.765
2027,11,15,P03,280045,21.44,4,2027,11,22,28.771
2027,12,6,P03,280045,18,4,2027,12,13,24.155
2027,12,13,P03,280045,20.05,4,2027,12,20,26.906
2026,8,10,P03,280105,27,4,2026,8,17,36.179
2026,8,17,P03,280105,69,4,2026,8,24,92.459
2026,9,7,P03,280105,26.46,4,2026,9,14,35
2026,9,14,P03,280105,31.21,4,2026,9,21,41.283
2026,9,28,P03,280105,28.78,4,2026,10,5,37.639
2026,10,5,P03,280105,29.96,4,2026,10,12,39.182
2026,10,19,P03,280105,18,4,2026,10,26,23.54
2026,11,9,P03,280105,96.265,4,2026,11,16,128.621
2026,11,30,P03,280105,34.69,4,2026,12,7,47.375
2026,12,14,P03,280105,60.793,4,2026,12,21,83.023
2026,12,28,P03,280105,25.337,4,2027,1,4,34
2027,1,11,P03,280105,35.452,4,2027,1,18,47.574
2027,1,25,P03,280105,54.838,4,2027,2,1,73.588
2027,2,8,P03,280105,30.209,4,2027,2,15,40.537
2027,3,22,P03,280105,33.379,4,2027,3,29,44.793
