line,sku,is_double_line,first_run,last_run,n_runs,hrs,kg,rate_kgph,rate_p20,rate_p80,oee_mean_hw,recent_n_runs,recent_hrs,recent_kg,recent_rate_kgph,recent_rate_p20,recent_rate_p80,recent_oee_mean_hw,low_evidence,capable,calc_rate_kgph,in_capability_table,measured_over_calc,recent_over_calc
P19,280212,True,2024-07-10,2024-09-10,2,36.0,43446.0,1206.8,1109.2,1261.0,0.5372,1.0,24.0,30265.0,1261.0,1261.0,1261.0,0.5614,True,1.0,1454.0,True,0.83,0.867
P19,280213,True,2024-05-15,2025-03-16,9,312.0,333775.0,1069.8,675.8,1406.1,0.4762,5.0,192.0,174506.0,908.9,675.4,1333.9,0.4046,False,1.0,1454.0,True,0.736,0.625
P19,280222,True,2024-04-01,2025-01-09,9,354.5,483650.0,1364.3,1166.9,1571.5,0.6073,4.0,151.5,220128.0,1453.0,1038.1,1584.0,0.6468,False,1.0,1454.0,True,0.938,0.999
P19,280256,True,2025-11-08,2026-09-01,27,2054.0,2966406.0,1444.2,1233.8,1659.8,0.6488,27.0,2054.0,2966406.0,1444.2,1233.8,1659.8,0.6488,False,1.0,1454.0,True,0.993,0.993
P19,280323,True,2023-10-27,2025-04-24,29,1978.5,2886041.0,1458.7,1307.2,1704.7,0.6494,9.0,554.0,742644.0,1340.5,849.8,1687.0,0.5967,False,1.0,1454.0,True,1.003,0.922
P19,280324,True,2023-11-13,2025-11-02,46,3066.5,4468191.0,1457.1,1342.5,1608.5,0.6486,19.0,1216.0,1713534.0,1409.2,1249.8,1655.3,0.6273,False,1.0,1454.0,True,1.002,0.969
P19,280351,True,2025-05-23,2026-09-02,68,6389.2,9463803.0,1481.2,1302.7,1652.7,0.6594,68.0,6389.2,9463803.0,1481.2,1302.7,1652.7,0.6594,False,1.0,1454.0,True,1.019,1.019
P19,280405,True,2024-12-02,2025-02-06,3,94.0,57385.0,610.5,490.8,791.1,0.2718,3.0,94.0,57385.0,610.5,490.8,791.1,0.2718,False,1.0,1454.0,True,0.42,0.42
P19,280454,True,2024-03-10,2024-03-10,1,64.0,106763.0,1668.2,1668.2,1668.2,0.7426,,,,,,,,True,1.0,1454.0,True,1.147,
P19,280480,True,2023-12-10,2025-03-23,45,3297.3,4736477.0,1436.5,1262.5,1600.6,0.6394,18.0,1278.3,1819357.0,1423.2,1285.2,1588.1,0.6336,False,1.0,1454.0,True,0.988,0.979
P19,280489,True,2024-04-24,2025-04-27,5,411.0,614148.0,1494.3,1368.9,1606.5,0.6652,3.0,251.0,395960.0,1577.5,1499.1,1747.6,0.7022,False,1.0,1454.0,True,1.028,1.085
P19,280584,True,2026-09-02,2026-09-02,1,12.0,20783.0,1731.9,1731.9,1731.9,0.771,1.0,12.0,20783.0,1731.9,1731.9,1731.9,0.771,True,0.0,1454.0,True,1.191,1.191
