line,from_sku,to_sku,n,recent_n,last_seen,setup_hours,ttp_change,ffs_change,tpld_change,cspkr_change,conv_to_org,cinn_to_non_cinn,added_flavors,cip_req_after,in_changeover_table
P13,280222,280325,1,0,2021-10-26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,True
P13,280233,120445,1,0,2020-05-12,,,,,,,,,,False
P13,280233,280107,1,0,2021-10-01,2.25,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,True
P13,280233,280222,1,0,2021-12-18,3.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,True
P13,280233,280247,1,0,2020-06-14,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P13,280233,280256,1,0,2022-02-17,2.25,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,True
P13,280234,120464,1,0,2020-07-15,2.75,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,True
P13,280234,251200,1,0,2021-08-16,2.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True
P13,280234,280198,1,0,2021-02-22,,,,,,,,,,False
P13,280235,280169,1,0,2021-02-01,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P13,280235,280247,1,0,2020-06-01,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P13,280237,280327,1,0,2023-04-09,,,,,,,,,,False
P13,280241,280243,1,0,2021-01-24,,,,,,,,,,False
P13,280243,280169,1,0,2021-01-28,,,,,,,,,,False
P13,280243,280198,1,0,2021-01-19,,,,,,,,,,False
P13,280243,280284,1,0,2020-02-02,,,,,,,,,,False
P13,280244,120464,1,0,2024-08-03,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,True
P13,280244,280264,1,1,2025-06-22,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,True
P13,280245,280246,1,0,2021-05-23,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,True
P13,280246,280256,1,0,2024-08-13,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-2.0,0.0,True
P13,280246,280318,1,0,2024-07-21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P13,280247,280234,1,0,2021-12-07,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P13,280247,280357,1,0,2021-07-12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P13,280256,120436,1,0,2023-10-22,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P13,280256,241283,1,1,2025-04-24,1.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,True
P13,280256,280052,1,0,2022-02-24,1.75,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,True
P13,280256,280212,1,1,2025-05-31,0.75,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,True
P13,280256,280222,1,0,2022-07-30,0.75,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,True
P13,280264,120450,1,0,2024-02-29,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-2.0,0.0,True
P13,280264,280013,1,1,2024-11-10,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-2.0,0.0,True
P13,280264,280212,1,1,2025-03-02,1.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,True
P13,280264,280222,1,0,2024-05-30,1.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,True
P13,280264,280425,1,1,2025-03-30,0.25,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,True
P13,280284,280214,1,0,2020-02-05,,,,,,,,,,False
P13,280318,120436,1,0,2023-08-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,True
P13,280318,251200,1,1,2025-04-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,True
P13,280318,280213,1,0,2021-05-09,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-2.0,0.0,True
P13,280318,280244,1,0,2024-08-02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,True
P13,280324,280325,1,0,2022-12-04,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-2.0,0.0,True
P13,280325,241283,1,0,2023-02-17,1.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,True
P13,280325,241287,1,0,2022-12-06,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P13,280325,251200,1,0,2021-10-14,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P13,280325,280107,1,0,2021-09-10,1.25,1.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,True
P13,280325,280169,1,0,2023-03-18,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P13,280325,280172,1,0,2022-03-03,,,,,,,,,,False
P13,280325,280324,1,0,2022-12-04,1.5,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,True
P13,280326,120436,1,0,2022-10-02,,,,,,,,,,False
P13,280326,120464,1,0,2022-08-07,,,,,,,,,,False
P13,280326,280327,1,0,2023-03-20,,,,,,,,,,False
P13,280327,120464,1,0,2024-01-08,,,,,,,,,,False
P13,280327,280052,1,0,2023-03-22,,,,,,,,,,False
P13,280327,280169,1,0,2023-02-11,,,,,,,,,,False
P13,280327,280213,1,0,2023-06-13,,,,,,,,,,False
P13,280327,280237,1,0,2023-04-09,,,,,,,,,,False
P13,280327,280264,1,0,2023-08-08,,,,,,,,,,False
P13,280327,280318,1,0,2023-05-23,,,,,,,,,,False
P13,280327,280326,1,0,2022-10-01,,,,,,,,,,False
P13,280327,280362,1,0,2023-01-13,,,,,,,,,,False
P13,280327,280365,1,0,2022-06-03,,,,,,,,,,False
P13,280351,120444,1,0,2024-07-23,0.75,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,True
P13,280351,120464,1,1,2025-07-01,1.25,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,True
P13,280351,241283,1,1,2024-09-29,1.25,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,True
P13,280351,280013,1,1,2024-11-17,0.75,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,True
P13,280351,280121,1,1,2025-02-13,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P13,280351,280222,1,0,2022-01-20,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,True
P13,280351,280318,1,0,2024-07-31,1.25,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,True
P13,280351,280327,1,0,2023-06-10,,,,,,,,,,False
P13,280351,280365,1,1,2024-12-11,,,,,,,,,,False
P13,280351,280517,1,0,2024-07-17,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P13,280355,280172,1,0,2021-05-17,,,,,,,,,,False
P13,280355,280212,1,0,2021-05-12,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,True
P13,280357,280235,1,0,2021-07-18,1.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,True
P13,280362,120437,1,0,2022-06-05,,,,,,,,,,False
P13,280362,241287,1,0,2022-05-17,,,,,,,,,,False
P13,280362,241288,1,0,2022-04-22,,,,,,,,,,False
P13,280362,280169,1,0,2023-10-29,,,,,,,,,,False
P13,280362,280213,1,0,2022-09-03,,,,,,,,,,False
P13,280362,280222,1,0,2023-01-14,,,,,,,,,,False
P13,280362,280256,1,1,2025-02-04,,,,,,,,,,False
P13,280362,280327,1,0,2024-01-07,,,,,,,,,,False
P13,280365,280172,1,0,2022-05-12,,,,,,,,,,False
P13,280365,280326,1,0,2022-08-06,,,,,,,,,,False
P13,280375,280212,1,0,2023-11-27,2.75,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,True
P13,280405,241283,1,0,2022-12-20,0.75,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,True
P13,280405,280169,1,0,2023-03-05,0.5,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,0.0,True
P13,280405,280213,1,0,2022-04-17,0.25,1.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,True
P13,280425,241287,1,0,2024-06-23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
