sku,line,hrs,n_runs,share_of_sku_hrs,recent_hrs,recent_n_runs,recent_share_of_sku_hrs,rank_by_recent_hrs
241287,P22,24.0,1,0.005,24.0,1.0,0.033,5.0
241287,P10,143.4,2,0.029,,,,
241287,P13,1444.5,26,0.29,,,,
241287,P15,600.0,12,0.12,,,,
241288,P11,1195.6299999999999,28,0.231,48.0,1.0,1.0,1.0
241288,P09,597.5,13,0.115,,,,
241288,P10,294.15,8,0.057,,,,
241288,P12,12.0,1,0.002,,,,
241288,P13,1387.13,35,0.268,,,,
241288,P15,737.157,17,0.142,,,,
241288,P16,953.78,19,0.184,,,,
241653,P13,11.0,1,0.275,,,,
241653,P15,18.0,2,0.45,,,,
241653,P16,11.0,1,0.275,,,,
241658,P09,67.5,1,0.539,,,,
241658,P11,12.0,1,0.096,,,,
241658,P16,45.75,1,0.365,,,,
242027,P09,1389.25,24,0.269,,,,
242027,P10,1009.5,16,0.196,,,,
242027,P11,766.51,15,0.149,,,,
242027,P13,1267.8,17,0.246,,,,
242027,P15,206.85,5,0.04,,,,
242027,P16,520.0,9,0.101,,,,
242030,P09,551.25,14,0.269,,,,
242030,P10,233.15,6,0.114,,,,
242030,P11,226.0,7,0.11,,,,
242030,P12,161.0,5,0.079,,,,
242030,P13,292.92,7,0.143,,,,
242030,P14,264.0,5,0.129,,,,
242030,P15,164.55,4,0.08,,,,
242030,P16,156.07,3,0.076,,,,
251200,P20,328.0,6,0.055,328.0,6.0,0.268,1.0
251200,P09,1844.0,55,0.312,312.0,10.0,0.255,2.0
251200,P11,659.5,16,0.111,281.5,8.0,0.23,3.0
251200,P16,828.0,23,0.14,248.0,7.0,0.203,4.0
251200,P13,1054.23,30,0.178,30.0,1.0,0.025,5.0
251200,P22,24.0,2,0.004,24.0,2.0,0.02,6.0
251200,P10,274.05,9,0.046,,,,
251200,P12,4.0,1,0.001,,,,
251200,P15,900.63,31,0.152,,,,
280002,P13,12.0,1,1.0,,,,
280003,P10,24.0,1,0.086,,,,
280003,P11,32.0,2,0.115,,,,
280003,P12,110.5,7,0.397,,,,
280003,P14,59.45,4,0.214,,,,
280003,P15,10.43,1,0.037,,,,
280003,P16,42.0,2,0.151,,,,
280012,P10,35.0,2,0.271,,,,
