mo_start_date,LINE,MO,PRODUCT CODE,Sum of OEE,Max of mo_scheduled_hrs,pouches_produced,pouch_weight_g,kg_per_hr
43230,P10,5520,280130,0.744831731,16,148728,90,836.60
43230,P10,5521,280129,0.829326923,20,207000,90,931.50
43230,P11,5523,242027,0.648824786,24,194336,90,728.76
43230,P12,5527,280093,0.615808137,19,131980,110,764.09
43230,P12,5527,280096,0.669437057,16,120820,110,830.64
43230,P13,5532,120437,0.888538462,25,277224,90,998.01
43230,P14,5552,120436,0.71151627,20.22,179548,90,799.18
43231,P11,5524,280114,0.852424749,11.5,122340,90,957.44
43231,P16,5579,120436,0.514423077,3.4,21828,90,577.80
43234,P09,5553,242027,0.774112999,43,415420,90,869.48
43234,P10,5555,280130,0.594852941,51,378612,90,668.14
43234,P11,5558,120452,0.645804196,11,88656,90,725.37
43234,P11,5559,241288,0.594919872,40,296984,90,668.21
43234,P12,5558,120454,0.369776828,27,124600,90,415.33
43234,P13,5565,242027,0.816268191,111,1130760,90,916.83
43234,P14,5566,120450,0.723486881,43,388252,90,812.62
43234,P15,5569,251200,0.588159341,35,256908,90,660.62
43235,P09,5554,280105,0.759851828,61,578460,90,853.47
43235,P12,5562,120453,0.554346955,16,110692,90,622.64
43235,P12,5563,120435,0.783669872,40,391208,90,880.22
43235,P14,5567,280115,0.751495726,24,225088,90,844.08
43235,P15,5570,280133,0.727661401,56,508548,90,817.31
43236,P10,5556,280129,0.640544872,24,191856,90,719.46
43236,P11,5560,280039,0.729289941,58.5,532440,90,819.14
43236,P14,5568,120437,0.751341682,43,403200,90,843.91
43237,P10,5557,242027,0.663304644,35.75,295940,90,745.02
43237,P12,5564,120430,0.832963733,27.75,288472,90,935.58
43237,P15,5571,120430,0.643338907,23,184664,90,722.60
43238,P09,5614,120430,0.777472527,3.5,33960,90,873.26
43241,P09,5584,120465,0.454402834,19,107748,90,510.39
43241,P09,5585,280039,0.80046431,92.5,924056,90,899.08
43241,P10,5623,280133,0.684085724,59,503706,90,768.37
43241,P11,5626,242027,0.606154933,59,446324,90,680.83
43241,P12,5591,120433,0.713150183,35,311504,90,801.01
43241,P13,5594,280040,0.812440646,27,273760,90,912.53
43241,P14,5596,280107,0.690297203,11,94764,90,775.34
43241,P14,5597,280133,0.778512286,72,699540,90,874.43
43241,P16,5599,242027,0.687321937,27,231600,90,772.00
43242,P12,5592,280003,0.849769888,19.5,206800,90,954.46
43242,P13,5595,242027,0.846657274,81.62,862420,90,950.97
43242,P16,5600,280133,0.62076656,24,185932,90,697.25
43243,P10,5624,251200,0.625701122,48,374820,90,702.79
43243,P11,5627,280068,0.703365385,44,386232,90,790.02
43243,P12,5593,280133,0.75682879,51.5,486429,90,850.07
43243,P16,5601,120433,0.770740215,59.03,567800,90,865.70
43244,P14,5598,120430,0.760165012,25.95,246184,90,853.82
43245,P10,5625,120437,0.950128205,5,59288,90,1067.18
43249,P09,5630,242027,0.815008842,72.5,737420,90,915.42
43249,P10,5651,280134,0.73407906,75,687098,90,824.52
43249,P11,5653,280068,0.738923077,75,691632,90,829.96
43249,P12,5634,242030,0.688805793,27,232100,90,773.67
43249,P13,5636,242027,0.812286325,75,760300,90,912.36
43249,P14,5637,280133,0.870840787,43,467328,90,978.13
43249,P16,5641,120444,0.611185897,40,305104,90,686.48
43249,P16,5642,120430,0.725641026,19,172064,90,815.04
43250,P12,5635,280134,0.70798519,43.5,384351,90,795.21
43250,P14,5639,120437,0.810727163,32,323772,90,910.61
43251,P16,5640,280133,0.738511619,16,147466,90,829.50
43252,P09,5694,242027,0.841491841,30.25,317680,90,945.16
43252,P10,5695,280134,0.748317308,8,74712,90,840.51
43252,P10,5952,280135,0.692728365,16,138324,90,778.07
43252,P11,5696,280068,0.816666667,35,356720,90,917.28
